sample_id,juice_type,storage_temp_C,storage_day,batch,vitamin_c_mg_per_100ml,pH,microbial_load_log10,turbidity_NTU
S047,apple,4,6,2,39.95,3.82,2.3,15.0
S048,apple,4,6,3,39.32,3.83,2.41,16.2
S049,apple,20,0,1,43.87,3.86,1.67,12.4
S050,apple,20,0,2,44.23,3.81,1.75,13.3
S051,apple,20,0,3,44.12,3.86,1.76,13.9
S052,apple,20,2,1,41.08,3.78,2.45,15.7
S053,apple,20,2,2,41.49,3.77,2.57,16.1
S054,apple,20,2,3,41.81,3.77,2.48,17.4
S055,apple,20,4,1,39.79,3.78,3.25,19.6
S056,apple,20,4,2,39.52,3.75,3.27,19.5
S057,apple,20,4,3,39.63,3.75,3.44,22.3
S058,apple,20,6,1,37.1,3.7,3.92,22.7
S059,apple,20,6,2,37.51,3.74,3.97,22.9
S060,apple,20,6,3,36.65,3.7,3.94,22.9
S061,apple,35,0,1,43.69,3.82,1.63,11.8
S062,apple,35,0,2,44.75,3.79,1.67,14.3
S063,apple,35,0,3,45.02,3.79,1.72,13.5
S064,apple,35,2,1,41.66,3.73,3.03,19.7
S065,apple,35,2,2,41.2,3.75,3.04,18.2
S066,apple,35,2,3,40.97,3.75,3.06,18.9
S067,apple,35,4,1,38.27,3.72,4.35,25.3
S068,apple,35,4,2,38.12,3.7,4.29,25.0
S069,apple,35,4,3,38.07,3.75,4.45,25.8
S070,apple,35,6,1,34.88,3.61,5.72,31.4
S071,apple,35,6,2,35.32,,5.7,31.5
S072,apple,35,6,3,34.76,3.62,5.66,31.0
S073,berry,4,0,1,35.9,3.35,2.03,16.3
S074,berry,4,0,2,36.52,3.29,2.03,16.3
S075,berry,4,0,3,36.1,3.34,1.93,15.9
S076,berry,4,2,1,35.2,3.3,2.29,17.1
S077,berry,4,2,2,34.58,3.31,2.21,17.8
S078,berry,4,2,3,34.8,3.38,2.31,17.7
S079,berry,4,4,1,33.81,3.34,2.47,17.9
S080,berry,4,4,2,33.22,3.31,2.48,17.3
S081,berry,4,4,3,33.47,3.32,2.49,18.7
S082,berry,4,6,1,32.44,3.33,2.48,18.1
S083,berry,4,6,2,31.39,3.3,2.7,19.6
S084,berry,4,6,3,31.56,3.29,2.59,17.8
S085,berry,20,0,1,35.77,3.36,2.13,17.0
S086,berry,20,0,2,35.2,3.36,2.06,16.5
S087,berry,20,0,3,36.57,3.3,2.01,16.5
S088,berry,20,2,1,33.25,3.35,2.83,20.3
S089,berry,20,2,2,33.6,3.33,2.88,20.1
S090,berry,20,2,3,33.88,3.32,2.75,19.3
S091,berry,20,4,1,31.55,3.28,3.63,
S092,berry,20,4,2,31.56,3.31,3.51,22.2
S093,berry,20,4,3,31.67,3.3,3.56,24.0
S094,berry,20,6,1,29.7,3.26,4.36,28.2
S095,berry,20,6,2,29.33,3.19,4.43,26.6
S096,berry,20,6,3,29.44,3.27,4.21,25.1
S097,berry,35,0,1,35.44,3.33,2.08,16.7
S098,berry,35,0,2,36.1,3.31,1.89,15.5
S099,berry,35,0,3,35.83,3.36,2.1,16.5
S100,berry,35,2,1,33.32,3.29,3.38,21.7
S101,berry,35,2,2,32.99,3.29,3.4,22.0
S102,berry,35,2,3,33.23,3.28,3.34,22.6
S103,berry,35,4,1,29.4,3.19,4.54,25.8
S104,berry,35,4,2,29.86,3.25,4.62,27.9
S105,berry,35,4,3,30.48,3.26,4.64,28.8
S106,berry,35,6,1,27.18,3.14,5.9,32.5
S107,berry,35,6,2,26.84,3.16,5.99,35.2
S108,berry,35,6,3,26.67,3.18,7.8,42.4
